lsq_data_file:lsq2.dat
@-1.2 1.2 -0.1 1.2
41
-1 1
-0.95 0.997687
-0.9 -0.919401
-0.85 0.100477
-0.8 0.954251
-0.75 -0.31221
-0.7 -0.980064
-0.65 -0.014521
-0.6 0.954251
-0.55 0.606547
-0.5 -0.5
-0.45 -0.996
-0.4 -0.367533
-0.35 0.646173
-0.3 0.98213
-0.25 0.334633
-0.2 -0.632852
-0.15 -0.991532
-0.1 -0.419189
-0.05 0.539951
3.191891e-16 1
0.05 0.539951
0.1 -0.419189
0.15 -0.991532
0.2 -0.632852
0.25 0.334633
0.3 0.98213
0.35 0.646173
0.4 -0.367533
0.45 -0.996
0.5 -0.5
0.55 0.606547
0.6 0.954251
0.65 -0.014521
0.7 -0.980064
0.75 -0.31221
0.8 0.954251
0.85 0.100477
0.9 -0.919401
0.95 0.997687
0.999999 0.9996
