lsq_data_file:lsq4.dat
@-1.2 1.2 -0.1 1.2
51
-1 1
-0.96 0.9216
-0.92 0.8464
-0.88 0.7744
-0.84 0.7056
-0.8 0.64
-0.76 0.5776
-0.72 0.5184
-0.68 0.4624
-0.64 0.4096
-0.6 0.36
-0.56 0.3136
-0.52 0.2704
-0.48 0.2304
-0.44 0.1936
-0.4 0.16
-0.36 0.1296
-0.32 0.1024
-0.28 0.0784
-0.24 0.0576
-0.2 0.04
-0.16 0.0256
-0.12 0.0144
-0.08 0.0064
-0.04 0.0016
3.469447e-16 1.203706e-31
0.04 0.0016
0.08 0.0064
0.12 0.0144
0.16 0.0256
0.2 0.04
0.24 0.0576
0.28 0.0784
0.32 0.1024
0.36 0.1296
0.4 0.16
0.44 0.1936
0.48 0.2304
0.52 0.2704
0.56 0.3136
0.6 0.36
0.64 0.4096
0.68 0.4624
0.72 0.5184
0.76 0.5776
0.8 0.64
0.84 0.7056
0.88 0.7744
0.92 0.8464
0.96 0.9216
0.999999 0.999998
